date,ticker,price
2024-05-19,TSLA,338.007265805273
2024-05-20,TSLA,337.01338279418695
2024-05-21,TSLA,335.27245155639747
2024-05-22,TSLA,335.05652579176996
2024-05-23,TSLA,333.6291951385531
2024-05-24,TSLA,333.96562301412155
2024-05-25,TSLA,333.83259214938454
2024-05-26,TSLA,336.40927166479423
2024-05-27,TSLA,337.08143270198553
2024-05-28,TSLA,336.0777711004937
2024-05-29,TSLA,335.0134903649636
2024-05-30,TSLA,334.28327309866916
2024-05-31,TSLA,333.1818815623748
2024-06-01,TSLA,334.82065604191865
2024-06-02,TSLA,335.18342047163236
2024-06-03,TSLA,333.07324057195706
2024-06-04,TSLA,332.9767742013415
2024-06-05,TSLA,334.42459608584744
2024-06-06,TSLA,335.3922360226428
2024-06-07,TSLA,336.3537680563333
