date,ticker,price
2024-05-19,TSLA,338.15645582431284
2024-05-20,TSLA,336.61137273339574
2024-05-21,TSLA,336.551467885085
2024-05-22,TSLA,337.237687366087
2024-05-23,TSLA,337.45823898035275
2024-05-24,TSLA,338.06974988568885
2024-05-25,TSLA,339.3918171194947
2024-05-26,TSLA,339.560538310266
2024-05-27,TSLA,339.4256659039689
2024-05-28,TSLA,338.3650723781047
2024-05-29,TSLA,337.67372440418194
2024-05-30,TSLA,337.2221273246825
2024-05-31,TSLA,338.0807664419528
2024-06-01,TSLA,338.76702801275474
2024-06-02,TSLA,340.0966508308388
2024-06-03,TSLA,342.11315017288683
2024-06-04,TSLA,340.0449986745057
2024-06-05,TSLA,338.59167256277783
2024-06-06,TSLA,338.6688128244153
2024-06-07,TSLA,338.9649635364361
