date,ticker,price
2024-05-19,TSLA,337.9837817332402
2024-05-20,TSLA,339.3405702027403
2024-05-21,TSLA,338.14458907286746
2024-05-22,TSLA,337.11004907727687
2024-05-23,TSLA,337.47892642208734
2024-05-24,TSLA,336.0940341214159
2024-05-25,TSLA,335.89614792646125
2024-05-26,TSLA,334.5369009376045
2024-05-27,TSLA,334.4857940209705
2024-05-28,TSLA,335.0904536096619
2024-05-29,TSLA,334.4654209857177
2024-05-30,TSLA,332.0073088576792
2024-05-31,TSLA,330.56962699499934
2024-06-01,TSLA,330.4060756597057
2024-06-02,TSLA,330.7120841537093
2024-06-03,TSLA,330.3452603685579
2024-06-04,TSLA,329.4009192139014
2024-06-05,TSLA,329.7368296442823
2024-06-06,TSLA,330.8355794074186
2024-06-07,TSLA,332.7716360947346
